country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",11-03-2026 15:00,30.735567,76.775714,PM10,34,117,86
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",11-03-2026 15:00,30.751462,76.762879,SO2,4,10,6
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",11-03-2026 15:00,21.185571,81.343175,CO,27,34,30
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",11-03-2026 15:00,21.224231,81.40835,PM2.5,10,77,48
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",11-03-2026 15:00,21.224231,81.40835,NO2,16,96,60
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",11-03-2026 15:00,25.366336,87.117468,NO2,5,6,6
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",11-03-2026 15:00,25.0328,85.41948,PM2.5,NA,NA,NA
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",11-03-2026 15:00,25.0328,85.41948,PM10,NA,NA,NA
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",11-03-2026 15:00,25.0328,85.41948,NH3,NA,NA,NA
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",11-03-2026 15:00,25.0328,85.41948,SO2,NA,NA,NA
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",11-03-2026 15:00,25.892357,86.590325,PM2.5,56,365,201
India,Bihar,Patna,"Muradpur, Patna - BSPCB",11-03-2026 15:00,25.619651,85.147382,CO,38,136,123
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",11-03-2026 15:00,25.599486,85.113666,SO2,4,14,8
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",11-03-2026 15:00,25.599486,85.113666,CO,13,115,42
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",11-03-2026 15:00,25.599486,85.113666,OZONE,26,34,31
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",11-03-2026 15:00,28.5512005,77.2735737,CO,27,90,52
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",11-03-2026 15:00,28.615828,77.271992,PM2.5,69,349,236
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",11-03-2026 15:00,21.258815,81.578979,PM10,44,151,94
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",11-03-2026 15:00,21.219665,81.630094,NH3,2,2,2
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",11-03-2026 15:00,28.56789,77.250515,OZONE,1,183,98
India,Delhi,Delhi,"New Moti Bagh, Delhi - MHUA",11-03-2026 15:00,28.57834,77.184,NO2,8,9,9
India,Delhi,Delhi,"New Moti Bagh, Delhi - MHUA",11-03-2026 15:00,28.57834,77.184,CO,16,130,71
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",11-03-2026 15:00,28.530785,77.271255,NH3,11,18,13
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",11-03-2026 15:00,28.623763,77.287209,PM10,161,326,232
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",11-03-2026 15:00,28.623763,77.287209,CO,32,139,70
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",11-03-2026 15:00,28.623763,77.287209,OZONE,2,213,184
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",11-03-2026 15:00,28.674045,77.131023,PM10,119,381,210
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",11-03-2026 15:00,28.674045,77.131023,NH3,5,9,7
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",11-03-2026 15:00,28.594004,76.909423,PM10,89,261,171
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",11-03-2026 15:00,28.594004,76.909423,OZONE,8,120,86
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",11-03-2026 15:00,28.570173,76.933762,PM2.5,63,273,157
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",11-03-2026 15:00,28.570173,76.933762,PM10,88,169,135
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",11-03-2026 15:00,28.570173,76.933762,NO2,3,103,65
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",11-03-2026 15:00,28.570173,76.933762,NH3,4,18,11
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",11-03-2026 15:00,28.570173,76.933762,CO,18,109,35
India,Delhi,Delhi,"Narela, Delhi - DPCC",11-03-2026 15:00,28.822836,77.101981,NO2,11,63,33
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",11-03-2026 15:00,28.56789,77.250515,PM10,126,388,222
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",11-03-2026 15:00,28.58028,77.233829,SO2,3,32,12
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",11-03-2026 15:00,28.5918245,77.2273074,CO,32,89,54
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",11-03-2026 15:00,28.636429,77.201067,PM2.5,203,373,296
India,Delhi,Delhi,"Mundka, Delhi - DPCC",11-03-2026 15:00,28.684678,77.076574,NH3,6,15,10
India,Delhi,Delhi,"Mundka, Delhi - DPCC",11-03-2026 15:00,28.684678,77.076574,SO2,28,44,36
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",11-03-2026 15:00,28.60909,77.0325413,PM10,119,434,226
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",11-03-2026 15:00,28.5627763,77.1180053,OZONE,4,94,50
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",11-03-2026 15:00,28.6811736,77.3025234,PM2.5,45,328,230
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",11-03-2026 15:00,28.6811736,77.3025234,PM10,117,196,161
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",11-03-2026 15:00,28.6811736,77.3025234,OZONE,23,39,26
India,Delhi,Delhi,"ITO, Delhi - CPCB",11-03-2026 15:00,28.628624,77.24106,PM10,76,152,124
India,Delhi,Delhi,"ITO, Delhi - CPCB",11-03-2026 15:00,28.628624,77.24106,SO2,12,34,23
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",11-03-2026 15:00,28.674045,77.131023,CO,30,110,83
India,Delhi,Delhi,"Pusa, Delhi - DPCC",11-03-2026 15:00,28.639652,77.146275,PM10,145,406,185
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",11-03-2026 15:00,28.563262,77.186937,SO2,4,108,38
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",11-03-2026 15:00,28.563262,77.186937,OZONE,6,169,80
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",11-03-2026 15:00,28.6514781,77.1473105,NO2,42,245,92
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",11-03-2026 15:00,28.710508,77.249485,PM10,135,278,184
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",11-03-2026 15:00,28.710508,77.249485,NH3,6,10,8
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",11-03-2026 15:00,28.531346,77.190156,PM2.5,83,310,181
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",11-03-2026 15:00,28.531346,77.190156,CO,8,92,38
India,Delhi,Delhi,"DTU, Delhi - CPCB",11-03-2026 15:00,28.7500499,77.1112615,PM2.5,70,358,218
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",11-03-2026 15:00,28.498571,77.26484,NO2,4,54,24
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",11-03-2026 15:00,28.58028,77.233829,PM10,117,342,215
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",11-03-2026 15:00,28.58028,77.233829,NO2,20,137,82
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",11-03-2026 15:00,28.73282,77.170633,NO2,39,102,65
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",11-03-2026 15:00,28.73282,77.170633,OZONE,3,48,20
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",11-03-2026 15:00,28.806223,76.141105,NH3,3,3,3
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",11-03-2026 15:00,28.593883,76.270653,PM2.5,89,110,99
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",11-03-2026 15:00,28.593883,76.270653,OZONE,12,17,15
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",11-03-2026 15:00,28.2068,76.7997,NH3,10,28,21
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",11-03-2026 15:00,28.39072,77.30059,NO2,23,26,25
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",11-03-2026 15:00,28.376058,77.315741,PM2.5,51,500,357
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",11-03-2026 15:00,28.376058,77.315741,NH3,10,10,10
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",11-03-2026 15:00,28.376058,77.315741,OZONE,14,16,15
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",11-03-2026 15:00,28.4417,77.3217,NO2,36,40,38
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",11-03-2026 15:00,29.503664,75.467934,PM2.5,13,315,67
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",11-03-2026 15:00,29.503664,75.467934,PM10,19,300,78
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",11-03-2026 15:00,29.503664,75.467934,NO2,18,20,19
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",11-03-2026 15:00,29.503664,75.467934,NH3,13,15,14
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",11-03-2026 15:00,28.422681,77.148944,NO2,8,37,22
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",11-03-2026 15:00,28.4227,77.0667,PM2.5,140,500,378
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",11-03-2026 15:00,28.4227,77.0667,NH3,6,10,8
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",11-03-2026 15:00,28.4275,77.1465,PM2.5,NA,NA,NA
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",11-03-2026 15:00,28.4275,77.1465,CO,NA,NA,NA
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",11-03-2026 15:00,28.4501238,77.0263051,OZONE,4,31,22
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",11-03-2026 15:00,21.755417,72.139056,NH3,4,7,6
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",11-03-2026 15:00,21.755417,72.139056,CO,48,68,52
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",11-03-2026 15:00,23.163798,72.677768,CO,44,93,56
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",11-03-2026 15:00,23.243639,72.68994,NO2,8,39,19
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",11-03-2026 15:00,23.221714,72.654328,PM2.5,57,193,118
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",11-03-2026 15:00,23.221714,72.654328,CO,31,49,39
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",11-03-2026 15:00,23.59315,72.372792,PM10,59,125,93
